Date,Time,Precipitation_AddisAbeba (mm),Relative Humidity_AddisAbeba (% RH),Temperature_AddisAbeba (?C)
12/30/2011,9:15:00 PM,0,37.9,11.1
12/30/2011,9:30:00 PM,0,39.4,10.6
12/30/2011,9:45:00 PM,0,39.3,10.6
12/30/2011,10:00:00 PM,0,40.1,10.4
12/30/2011,10:15:00 PM,0,40.8,10
12/30/2011,10:30:00 PM,0,39.4,10.2
12/30/2011,10:45:00 PM,0,37.8,10.3
12/30/2011,11:00:00 PM,0,34.1,11.7
12/30/2011,11:15:00 PM,0,40.5,10.8
12/30/2011,11:30:00 PM,0,49.8,8.6
12/30/2011,11:45:00 PM,0,51.7,8
12/31/2011,12:00:00 AM,0,52.5,7.8
12/31/2011,12:15:00 AM,0,53.9,7.4
12/31/2011,12:30:00 AM,0,55,7.1
12/31/2011,12:45:00 AM,0,52,7.6
12/31/2011,1:00:00 AM,0,53.4,7.4
12/31/2011,1:15:00 AM,0,57.4,6.5
12/31/2011,1:30:00 AM,0,59.4,5.9
12/31/2011,1:45:00 AM,0,60.3,5.7
12/31/2011,2:00:00 AM,0,59.2,5.9
12/31/2011,2:15:00 AM,0,59.7,5.6
12/31/2011,2:30:00 AM,0,60.3,5.3
12/31/2011,2:45:00 AM,0,60.2,5.2
12/31/2011,3:00:00 AM,0,60.6,4.9
12/31/2011,3:15:00 AM,0,56,5.3
12/31/2011,3:30:00 AM,0,61.6,5.7
12/31/2011,3:45:00 AM,0,62.9,5.3
12/31/2011,4:00:00 AM,0,61,5.7
12/31/2011,4:15:00 AM,0,62.2,5.4
12/31/2011,4:30:00 AM,0,61.2,5.4
12/31/2011,4:45:00 AM,0,64.5,4.5
12/31/2011,5:00:00 AM,0,63.6,4.5
12/31/2011,5:15:00 AM,0,66.1,4.1
12/31/2011,5:30:00 AM,0,68.1,3.8
12/31/2011,5:45:00 AM,0,69.3,3.6
12/31/2011,6:00:00 AM,0,70,3.7
12/31/2011,6:15:00 AM,0,66.7,4.6
12/31/2011,6:30:00 AM,0,70.2,3.6
12/31/2011,6:45:00 AM,0,71.3,3.1
12/31/2011,7:00:00 AM,0,70.1,3.3
12/31/2011,7:15:00 AM,0,64.7,4.8
12/31/2011,7:30:00 AM,0,55.4,7.3
12/31/2011,7:45:00 AM,0,49.9,9.3
12/31/2011,8:00:00 AM,0,44.6,10.7
12/31/2011,8:15:00 AM,0,41,11.9
12/31/2011,8:30:00 AM,0,38.2,12.8
12/31/2011,8:45:00 AM,0,34.6,13.6
12/31/2011,9:00:00 AM,0,31.3,15.3
12/31/2011,9:15:00 AM,0,27.9,17.3
12/31/2011,9:30:00 AM,0,28.2,17.4
12/31/2011,9:45:00 AM,0,27.3,18
12/31/2011,10:00:00 AM,0,25.4,18.9
12/31/2011,10:15:00 AM,0,25.2,19.4
12/31/2011,10:30:00 AM,0,26.3,19.2
12/31/2011,10:45:00 AM,0,26.6,19.4
12/31/2011,11:00:00 AM,0,25.9,20.2
12/31/2011,11:15:00 AM,0,25.7,20.4
12/31/2011,11:30:00 AM,0,22.3,21.9
12/31/2011,11:45:00 AM,0,21.9,22.2
12/31/2011,12:00:00 PM,0,21.9,22.3
12/31/2011,12:15:00 PM,0,22.5,22.6
12/31/2011,12:30:00 PM,0,22.5,22.9
12/31/2011,12:45:00 PM,0,22.1,23.1
12/31/2011,1:00:00 PM,0,22.3,23.3
12/31/2011,1:15:00 PM,0,21.9,23.2
12/31/2011,1:30:00 PM,0,22,23.4
12/31/2011,1:45:00 PM,0,21.8,23.9
12/31/2011,2:00:00 PM,0,21.7,23.9
12/31/2011,2:15:00 PM,0,22.2,23.6
12/31/2011,2:30:00 PM,0,21.6,23.8
12/31/2011,2:45:00 PM,0,21.2,24.3
12/31/2011,3:00:00 PM,0,21.4,23.9
12/31/2011,3:15:00 PM,0,20.9,24
12/31/2011,3:30:00 PM,0,21.2,24
12/31/2011,3:45:00 PM,0,21.6,23.8
12/31/2011,4:00:00 PM,0,21.5,23.5
12/31/2011,4:15:00 PM,0,22,23.3
12/31/2011,4:30:00 PM,0,22.3,22.9
12/31/2011,4:45:00 PM,0,22.7,22.5
12/31/2011,5:00:00 PM,0,23.1,22.3
12/31/2011,5:15:00 PM,0,24.4,21.6
12/31/2011,5:30:00 PM,0,25.2,20.5
12/31/2011,5:45:00 PM,0,24.1,19.8
12/31/2011,6:00:00 PM,0,24.2,19.1
12/31/2011,6:15:00 PM,0,24.5,18.6
12/31/2011,6:30:00 PM,0,25.3,18
12/31/2011,6:45:00 PM,0,26.6,17.6
12/31/2011,7:00:00 PM,0,28.2,17.2
12/31/2011,7:15:00 PM,0,29.9,17
12/31/2011,7:30:00 PM,0,30.2,16.9
12/31/2011,7:45:00 PM,0,30.6,16.8
12/31/2011,8:00:00 PM,0,30.7,16.6
12/31/2011,8:15:00 PM,0,30.7,16.7
12/31/2011,8:30:00 PM,0,31.6,16.5
12/31/2011,8:45:00 PM,0,31.8,16.3
12/31/2011,9:00:00 PM,0,31.5,16.2
12/31/2011,9:15:00 PM,0,33.4,15.6
12/31/2011,9:30:00 PM,0,36.2,14.6
12/31/2011,9:45:00 PM,0,40.2,13.5
12/31/2011,10:00:00 PM,0,42.5,12.8
12/31/2011,10:15:00 PM,0,43.9,12.4
12/31/2011,10:30:00 PM,0,44.2,12.3
12/31/2011,10:45:00 PM,0,45.1,11.7
12/31/2011,11:00:00 PM,0,44.7,11.7
12/31/2011,11:15:00 PM,0,43.6,11.9
12/31/2011,11:30:00 PM,0,44.1,11.6
12/31/2011,11:45:00 PM,0,45.3,11.3
12/1/2012,12:00:00 AM,0,72.9,12.3
12/1/2012,12:15:00 AM,0,73.7,12.1
12/1/2012,12:30:00 AM,0,77,11.2
12/1/2012,12:45:00 AM,0,79.2,10.6
12/1/2012,1:00:00 AM,0,81.1,10.3
12/1/2012,1:15:00 AM,0,82.6,10.1
12/1/2012,1:30:00 AM,0,85.6,9.6
12/1/2012,1:45:00 AM,0,88,9.1
12/1/2012,2:00:00 AM,0,88.7,9.3
12/1/2012,2:15:00 AM,0,87.9,9.2
12/1/2012,2:30:00 AM,0,89.8,9
12/1/2012,2:45:00 AM,0,90.8,8.7
12/1/2012,3:00:00 AM,0,92.2,8.3
12/1/2012,3:15:00 AM,0,92.6,8.3
12/1/2012,3:30:00 AM,0,90.2,9
12/1/2012,3:45:00 AM,0,88.5,8.8
12/1/2012,4:00:00 AM,0,91,8.4
12/1/2012,4:15:00 AM,0,92,8
12/1/2012,4:30:00 AM,0,92.8,7.7
12/1/2012,4:45:00 AM,0,94.3,7.5
12/1/2012,5:00:00 AM,0,93.4,7.7
12/1/2012,5:15:00 AM,0,91.7,8
12/1/2012,5:30:00 AM,0,90.9,8.3
12/1/2012,5:45:00 AM,0,92.2,7.9
12/1/2012,6:00:00 AM,0,92.9,7.5
12/1/2012,6:15:00 AM,0,92.1,7.6
12/1/2012,6:30:00 AM,0,92.5,7.7
12/1/2012,6:45:00 AM,0,93.1,7.3
12/1/2012,7:00:00 AM,0,92.7,8.3
12/1/2012,7:15:00 AM,0,76.5,11.4
12/1/2012,7:30:00 AM,0,70.3,12.8
12/1/2012,7:45:00 AM,0,67.3,13.7
12/1/2012,8:00:00 AM,0,62.8,14.6
12/1/2012,8:15:00 AM,0,61.1,15
12/1/2012,8:30:00 AM,0,59.3,15.7
12/1/2012,8:45:00 AM,0,55.3,16.5
12/1/2012,9:00:00 AM,0,53.5,17
12/1/2012,9:15:00 AM,0,50.3,18
12/1/2012,9:30:00 AM,0,46.8,18.7
12/1/2012,9:45:00 AM,0,47,18.7
12/1/2012,10:00:00 AM,0,47.4,18.9
12/1/2012,10:15:00 AM,0,45,19.6
12/1/2012,10:30:00 AM,0,43.6,20.2
12/1/2012,10:45:00 AM,0,43.9,20
12/1/2012,11:00:00 AM,0,43.6,20.2
12/1/2012,11:15:00 AM,0,43.3,20.6
12/1/2012,11:30:00 AM,0,41.7,21.1
12/1/2012,11:45:00 AM,0,41.7,21
12/1/2012,12:00:00 PM,0,41.5,21.4
12/1/2012,12:15:00 PM,0,41.7,21.6
12/1/2012,12:30:00 PM,0,40.9,21.6
12/1/2012,12:45:00 PM,0,40,22
12/1/2012,1:00:00 PM,0,39.9,22.1
12/1/2012,1:15:00 PM,0,38.8,22.3
12/1/2012,1:30:00 PM,0,37.2,22.5
12/1/2012,1:45:00 PM,0,35.7,22.5
12/1/2012,2:00:00 PM,0,36,22.5
12/1/2012,2:15:00 PM,0,35,22.6
12/1/2012,2:30:00 PM,0,34.7,22.8
12/1/2012,2:45:00 PM,0,34.4,22.9
12/1/2012,3:00:00 PM,0,36.1,22.2
12/1/2012,3:15:00 PM,0,37.4,22
12/1/2012,3:30:00 PM,0,36.7,21.6
12/1/2012,3:45:00 PM,0,35.6,21.8
12/1/2012,4:00:00 PM,0,35.5,21.5
12/1/2012,4:15:00 PM,0,34.2,21.3
12/1/2012,4:30:00 PM,0,32.9,21
12/1/2012,4:45:00 PM,0,32.9,20.9
12/1/2012,5:00:00 PM,0,34.1,20.1
12/1/2012,5:15:00 PM,0,34.8,19.5
12/1/2012,5:30:00 PM,0,35.9,18.9
12/1/2012,5:45:00 PM,0,34.5,18.5
12/1/2012,6:00:00 PM,0,37.5,17.9
12/1/2012,6:15:00 PM,0,40.1,17.4
12/1/2012,6:30:00 PM,0,42.1,16.9
12/1/2012,6:45:00 PM,0,43.8,16.6
12/1/2012,7:00:00 PM,0,44.9,16.1
12/1/2012,7:15:00 PM,0,46,15.8
12/1/2012,7:30:00 PM,0,46.8,15.7
12/1/2012,7:45:00 PM,0,48.4,15.2
12/1/2012,8:00:00 PM,0,49.8,14.9
12/1/2012,8:15:00 PM,0,50.4,14.9
12/1/2012,8:30:00 PM,0,50.9,14.8
12/1/2012,8:45:00 PM,0,51.1,14.7
12/1/2012,9:00:00 PM,0,51.3,14.5
12/1/2012,9:15:00 PM,0,51.4,14.3
12/1/2012,9:30:00 PM,0,51.7,14.1
12/1/2012,9:45:00 PM,0,53,13.7
12/1/2012,10:00:00 PM,0,52.8,13.6
12/1/2012,10:15:00 PM,0,50.9,13.9
12/1/2012,10:30:00 PM,0,48.6,14.3
12/1/2012,10:45:00 PM,0,47.4,14.5
12/1/2012,11:00:00 PM,0,47.4,14.3
12/1/2012,11:15:00 PM,0,49.6,13.7
12/1/2012,11:30:00 PM,0,50.1,13.4
12/1/2012,11:45:00 PM,0,50.6,13.1
12/2/2012,12:00:00 AM,0,49.8,13.1
12/2/2012,12:15:00 AM,0,48.5,13.2
12/2/2012,12:30:00 AM,0,48.5,13.2
12/2/2012,12:45:00 AM,0,47.4,13.4
12/2/2012,1:00:00 AM,0,47.1,13.5
12/2/2012,1:15:00 AM,0,47.4,13.3
12/2/2012,1:30:00 AM,0,48,13.1
12/2/2012,1:45:00 AM,0,48.4,13
12/2/2012,2:00:00 AM,0,49.7,12.6
12/2/2012,2:15:00 AM,0,50.3,12.3
12/2/2012,2:30:00 AM,0,50.2,12.4
12/2/2012,2:45:00 AM,0,53.7,11.3
12/2/2012,3:00:00 AM,0,58.3,10.3
12/2/2012,3:15:00 AM,0,62.4,9.6
12/2/2012,3:30:00 AM,0,66.3,8.8
12/2/2012,3:45:00 AM,0,66.7,8.7
12/2/2012,4:00:00 AM,0,69.3,7.9
12/2/2012,4:15:00 AM,0,70.4,7.7
12/2/2012,4:30:00 AM,0,71.7,7.5
12/2/2012,4:45:00 AM,0,73,7.6
12/2/2012,5:00:00 AM,0,72.8,8
12/2/2012,5:15:00 AM,0,75.9,7.3
12/2/2012,5:30:00 AM,0,78,6.9
12/2/2012,5:45:00 AM,0,79.2,6.7
12/2/2012,6:00:00 AM,0,80.2,6.4
12/2/2012,6:15:00 AM,0,79.4,6.6
12/2/2012,6:30:00 AM,0,77.4,6.6
12/2/2012,6:45:00 AM,0,77.5,6.8
12/2/2012,7:00:00 AM,0,68.5,8.8
12/2/2012,7:15:00 AM,0,62.7,10.8
12/2/2012,7:30:00 AM,0,55.5,13.3
12/2/2012,7:45:00 AM,0,51.4,15.3
12/2/2012,8:00:00 AM,0,49.2,16.2
12/2/2012,8:15:00 AM,0,48.3,16.5
12/2/2012,8:30:00 AM,0,47.8,16.8
12/2/2012,8:45:00 AM,0,47.9,17
12/2/2012,9:00:00 AM,0,46.3,17.8
12/2/2012,9:15:00 AM,0,45.3,18.3
12/2/2012,9:30:00 AM,0,44.6,18.6
12/2/2012,9:45:00 AM,0,43.3,19.1
12/2/2012,10:00:00 AM,0,42.5,19.4
12/2/2012,10:15:00 AM,0,42.1,19.8
12/2/2012,10:30:00 AM,0,40.1,20.5
12/2/2012,10:45:00 AM,0,37.9,21
12/2/2012,11:00:00 AM,0,36.4,21.3
12/2/2012,11:15:00 AM,0,35.8,21.5
12/2/2012,11:30:00 AM,0,35.6,21.8
