Date,Time,Precipitation_Jinka (mm),Relative Humidity_Jinka (% RH),Temperature_Jinka (?C)
5/11/2018,12:00:00 PM,0,0.1,*
5/11/2018,12:15:00 PM,0,0.1,*
5/11/2018,12:30:00 PM,0,0.1,*
5/11/2018,12:45:00 PM,0,0.1,*
5/11/2018,1:00:00 PM,0,0.1,*
5/11/2018,1:15:00 PM,0,0.1,*
5/11/2018,1:30:00 PM,0,0.1,*
5/11/2018,1:45:00 PM,0,0.1,*
5/11/2018,2:00:00 PM,0,0.1,*
5/11/2018,2:15:00 PM,0,0.1,*
5/11/2018,2:30:00 PM,0,0.1,*
5/11/2018,2:45:00 PM,0,0.1,*
5/11/2018,3:00:00 PM,0,0.1,*
5/11/2018,3:15:00 PM,0,0.1,*
5/11/2018,3:30:00 PM,0,0.1,*
5/11/2018,3:45:00 PM,0,0.1,*
5/11/2018,4:00:00 PM,0,0.1,*
5/11/2018,4:15:00 PM,0,0.1,*
5/11/2018,4:30:00 PM,0,0.1,*
5/11/2018,4:45:00 PM,0,0.1,*
5/11/2018,5:00:00 PM,0,0.1,*
5/11/2018,5:15:00 PM,0,0.1,*
5/11/2018,5:30:00 PM,0,0.1,*
5/11/2018,5:45:00 PM,0,0.1,*
5/11/2018,6:00:00 PM,0,0.1,*
5/11/2018,6:15:00 PM,0,0.1,*
5/11/2018,6:30:00 PM,0,0.1,*
5/11/2018,6:45:00 PM,0,0.1,*
5/11/2018,7:00:00 PM,0,0.1,*
5/11/2018,7:15:00 PM,0,0.1,*
5/11/2018,7:30:00 PM,0,0.1,*
5/11/2018,7:45:00 PM,0,0.1,*
5/11/2018,8:00:00 PM,0,0.1,*
